Product_Name,avg_rating,total_reviews,avg_price,brand,category
Red Hunt Fairness Face Wash For Men,5.0,2.0,80.0,Red Hunt,Men's Store > Shop By Concern > Anti Acne
SSCPL Herbals Conditioner For Dry And Damaged Hair,5.0,2.0,290.0,SSCPL Herbals,Natural > Hair > Conditioner
Blue Nectar Shubhr Massage Oil for Stretch Marks Scars,5.0,2.0,445.0,Blue Nectar,Natural > Shop By Concern > Anti Aging
DIOR Miss Dior Blooming Bouquet Eau De Toilette,5.0,0.0,7700.0,DIOR,
Note Mineral Blusher - 103,5.0,2.0,1499.0,Note,Makeup > Face > Blush
Skin Secrets Lemon Facial Gel,5.0,0.0,255.0,Skin Secrets,
Niconi Lemon Cream Face Wash,5.0,3.0,60.0,Niconi,Skin > Cleansers > Face Wash
KOCOSTAR Waffle Mask Set - Ice Cream,5.0,5.0,378.0,KOCOSTAR,Skin > Masks > Sheet Masks
Kapiva Ayurveda Apple Cider Vinegar Gummies,5.0,1.0,525.0,Kapiva Ayurveda,
Kiehl's Facial Fuel Energizing Moisture Treatment for Men SPF 19,5.0,1.0,3100.0,Kiehl's,Nykaa Luxe > Skin > Face > Moisturisers
Kiko Milano Konscious Vegan Matte Blush - 03 Imagine,5.0,0.0,1090.0,Kiko Milano,Makeup > Face > Blush
L'Occitane Shea Butter Extra Gentle Soap - Verbena,5.0,1.0,580.0,L'Occitane,Personal Care > Bath > Shower > Soaps
Gucci Guilty Eau De Toilette For Him,5.0,0.0,5400.0,Gucci,
Lime Crime Velvetines Liquid Metallic Lipstick - Eclipse,5.0,0.0,1900.0,Lime Crime,Makeup > Lips > Liquid Lipstick
Floret Pack of 2 Full-Coverage Maternity Bras - Multi-Color (30B),5.0,0.0,758.0,Floret,Mom > Baby > Maternity Wear > Maternity Bra
Merlion Naturals Organic Shikakai Powder,5.0,0.0,224.0,Merlion Naturals,Natural > Hair > Shampoo > Cleanser
MuscleBlaze MB Burner Capsules,5.0,0.0,337.0,MuscleBlaze,Health > Wellness > Shop By Concern > Immunity
MuscleBlaze Whey Protein - Vanilla,5.0,0.0,2135.0,MuscleBlaze,Health > Wellness > Shop By Concern > Bones > Joints
Dunhill Desire Eau De Toilette,5.0,1.0,5100.0,Dunhill,Fragrance > Men > Perfumes (EDT > EDP)
Dermacol Iconic Lips 2-In-1 Lipstick & Lipliner - 1,5.0,1.0,2149.0,Dermacol,Makeup > Lips > Lipstick
Neemli Naturals Tea Tree & Salicylic Face Wash,5.0,8.0,315.0,Neemli Naturals,Men's Store > Shop By Concern > Anti Acne
Niconi Green Apple Cream Face Wash,5.0,2.0,60.0,Niconi,Skin > Cleansers > Face Wash
Silkberry Jasmine & Mogra Body Butter,5.0,3.0,360.0,Silkberry,Natural > Body Care > Body Lotions
Jiva Ayurveda Jiva Hair Conditioner,5.0,0.0,95.0,Jiva Ayurveda,Natural > Hair > Conditioner
Allin Exporters Steam Distilled Lemon Essential Oil,5.0,1.0,277.0,Allin Exporters,Skin > Body Care > Massage Oils
Wishcare 100% Pure Lemongrass Essential Oil - Cymbopogon Flexuosus,5.0,5.0,299.0,Wishcare,Natural > Shop By Concern > Hairfall
Zerb Fresh Lemon Face Scrub,5.0,0.0,299.0,Zerb,Skin > Shop By Concern > Pore Care
Allin Exporters Ylang Ylang Oil,5.0,0.0,171.0,Allin Exporters,
The Hair Kitchen Enrich Hair Oil with Jasmin Extracts,5.0,1.0,400.0,The Hair Kitchen,Natural > Hair > Hair Oil
Spinz Master Mover Deodorant Body Spray For Men,5.0,1.0,200.0,Spinz,Men's Store > Fragrance > Deodorants/Roll-ons
Tjori Olive & Flaxseed Baby Massage Oil,5.0,0.0,449.0,Tjori,Mom > Baby > Baby Care > Baby Oil
Versace Eros Pour Femme Eau De Toilette,5.0,3.0,3273.0,Versace,Nykaa Luxe > Fragrance > Perfumes (EDP & EDT)
True Elements Sunflower Raw Seeds,5.0,0.0,175.0,True Elements,Health > Wellness > Good for You > Super Food
YLG Spectacolor Creme Nail Paint - Petals And Blossoms,5.0,0.0,149.0,YLG,Makeup > Nails > Nail Polish
Zerb Almond Nourishing Cream,5.0,1.0,299.0,Zerb,Skin > Moisturizers > Face Moisturizer > Day Cream
Zerb Gold Moisturizing Gel,5.0,1.0,250.0,Zerb,Skin > Moisturizers > Face Moisturizer > Day Cream
Tea Treasure Rooibos Red Tea 18 Pyramid Tea Bags,5.0,0.0,269.0,Tea Treasure,Health > Wellness > Good for You > Green Tea
Aveda Dry Remedy Moisturizing Conditioner,4.9,4.0,950.0,Aveda,Natural > Shop By Concern > Dry > Frizzy Hair
Pahadi Local Gutti Ka Tel (Apricot Kernel Oil),4.9,2.0,775.0,Pahadi Local,Natural > Shop By Concern > Anti Aging
Herms Eau D'Orange Verte Eau De Cologne,4.9,4.0,5050.0,HERM,Nykaa Luxe > Fragrance > Colognes
